season,mfl_id,gsis_id,display_name,last_name,pos,points,war,rank,award,label,headshot,category,pctl,group,category_f,award_f,subline
2019,14073,00-0035700,Josh Jacobs,Jacobs,RB,169.3,1.08,1,OROY,Offensive Rookie of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sagoqkubeaz5yht01ow7",war_total_pctl,0.34868421052631576,All award candidates 2016-2022,war_total_pctl,OROY,Most WAR: Offensive Rookie
2019,14079,00-0035243,Miles Sanders,Sanders,RB,126.82,0.48,2,OROY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/byt89vdiisuyc8of2kcn",war_total_pctl,0.1513157894736842,All award candidates 2016-2022,war_total_pctl,OROY,Most WAR: Offensive Rookie
2019,14071,00-0035685,David Montgomery,Montgomery,RB,118,0.36,3,OROY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sqahircgbz406rjbglpe",war_total_pctl,0.13157894736842105,All award candidates 2016-2022,war_total_pctl,OROY,Most WAR: Offensive Rookie
2019,14170,00-0035525,Devin Bush,Bush,LB,169,0.74,1,DROY,Defensive Rookie of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pzw9h0nwr9uluegc3wjw",war_total_pctl,0.26973684210526316,All award candidates 2016-2022,war_total_pctl,DROY,Most WAR: Defensive Rookie
2019,14168,00-0035707,Devin White,White,LB,119,0.26,2,DROY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tt76i1bcukafpqzx5qtq",war_total_pctl,0.10526315789473684,All award candidates 2016-2022,war_total_pctl,DROY,Most WAR: Defensive Rookie
2019,14260,00-0035286,Cole Holcomb,Holcomb,LB,132,0.22,3,DROY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kaoioaaqmkuciyvemv6r",war_total_pctl,0.07894736842105263,All award candidates 2016-2022,war_total_pctl,DROY,Most WAR: Defensive Rookie
2020,14168,00-0035707,Devin White,White,LB,209,2.6,1,MVP,Most Valuable Player,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tt76i1bcukafpqzx5qtq",war_total_pctl,0.8881578947368421,All award candidates 2016-2022,war_total_pctl,MVP,Most WAR
2020,13132,00-0033906,Alvin Kamara,Kamara,RB,264.42,2.42,2,MVP,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uulstglrpmhqsvqyr5v3",war_total_pctl,0.8157894736842105,All award candidates 2016-2022,war_total_pctl,MVP,Most WAR
2020,10768,00-0029562,Lavonte David,David,LB,186,1.96,3,MVP,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jphlxtv3vpvfbr2ufg0g",war_total_pctl,0.6710526315789473,All award candidates 2016-2022,war_total_pctl,MVP,Most WAR
2020,13132,00-0033906,Alvin Kamara,Kamara,RB,264.42,2.42,1,OPOY,Offensive Player of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uulstglrpmhqsvqyr5v3",war_total_pctl,0.8157894736842105,All award candidates 2016-2022,war_total_pctl,OPOY,Most WAR: Offense non-MVP
2020,12626,00-0032764,Derrick Henry,Henry,RB,221,1.78,2,OPOY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lvdvmkqltz7zz7fjtopr",war_total_pctl,0.5855263157894737,All award candidates 2016-2022,war_total_pctl,OPOY,Most WAR: Offense non-MVP
2020,12801,00-0033040,Tyreek Hill,Hill,WR,260.1,1.78,3,OPOY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lsszbdnkusxc7mduw5be",war_total_pctl,0.5855263157894737,All award candidates 2016-2022,war_total_pctl,OPOY,Most WAR: Offense non-MVP
2020,10768,00-0029562,Lavonte David,David,LB,186,1.96,1,DPOY,Defensive Player of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jphlxtv3vpvfbr2ufg0g",war_total_pctl,0.6710526315789473,All award candidates 2016-2022,war_total_pctl,DPOY,Most WAR: Defense non-MVP
2020,12239,00-0031554,Eric Kendricks,Kendricks,LB,200,1.42,2,DPOY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/trrqr2nakubivfvtzfwv",war_total_pctl,0.4605263157894737,All award candidates 2016-2022,war_total_pctl,DPOY,Most WAR: Defense non-MVP
2020,13216,00-0033547,Zach Cunningham,Cunningham,LB,193,1.32,3,DPOY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xczjppevmd94ms7ze2tz",war_total_pctl,0.4144736842105263,All award candidates 2016-2022,war_total_pctl,DPOY,Most WAR: Defense non-MVP
