"franchise_name","player_id","player_name","vbd_true_avg","true_position","pick_value_raw","comp_pick"
"Dortmund Packers",12075,"Barrett, Shaq",2.395,"DL",2.3622,11
"Dortmund Packers",12218,"Armstead, Arik",-2,"DL",-2.0113,71
"Dortmund Packers",13684,"Hubbard, Sam",0.812,"DL",0.8051,27
"Dortmund Packers",11720,"Barr, Anthony",0.85,"LB",0.894,26
"Dortmund Packers",15352,"Collins, Zaven",-6.712,"LB",-6.5081,252
"Dortmund Packers",10267,"Miller, Von",-2.043,"LB",-2.0445,72
"Dortmund Packers",12753,"Nassib, Carl",-4.4,"DL",-4.407,148
"Dortmund Packers",13204,"Harris, Charles",0.25,"DL",0.2166,34
"Dortmund Packers",13296,"Wise, Deatrich",-2.271,"DL",-2.2599,80
"Dortmund Packers",14940,"Highsmith, Alex",1.395,"DL",1.356,21
"Dortmund Packers",12301,"Smith, Za'Darius",-7.271,"DL",-6.5081,252
"Dortmund Packers",15356,"Browning, Baron",-3.015,"LB",-3.0223,109
"Dortmund Packers",15399,"Rice, Monty",-4.7,"LB",-4.6952,156
"Dortmund Packers",14948,"Walker, Mykal",-5.838,"LB",-5.844,209
"Syke Steelers",12231,"Thompson, Shaq",4.908,"LB",3.4684,1
"Syke Steelers",13699,"Evans, Rashaan",-0.4,"LB",-0.3821,42
"Syke Steelers",14928,"Wilson, Logan",4.754,"LB",3.4684,1
"Syke Steelers",15082,"Barnes, Krys",0,"LB",-0.0167,37
"Syke Steelers",10266,"Heyward, Cameron",4.25,"DL",3.4684,1
"Syke Steelers",14167,"Allen, Josh",2.062,"DL",2.0493,14
"Syke Steelers",14943,"Davis-Gaither, Akeem",-3.4,"LB",-3.3988,122
"Syke Steelers",12762,"Vigil, Nick",-0.667,"LB",-0.6551,46
"Syke Steelers",14268,"Long, David",5.489,"LB",3.4684,1
"Syke Steelers",12831,"Roberts, Elandon",-0.275,"LB",-0.2393,40
"Syke Steelers",13787,"Carter, Jermaine",-2.212,"LB",-2.2125,78
"Syke Steelers",13284,"Hendrickson, Trey",-0.438,"DL",-0.4519,43
"Syke Steelers",14958,"Quarterman, Shaquille",-7.025,"LB",-6.5081,252
"Syke Steelers",15351,"Owusu-Koramoah, Jeremiah",1.292,"LB",1.2614,22
"Güstrow Racoons",14171,"Burns, Brian",0.25,"DL",0.2166,34
"Güstrow Racoons",14672,"Reeder, Troy",-0.15,"LB",-0.1663,39
"Güstrow Racoons",12985,"Littleton, Cory",0.475,"LB",0.4614,31
"Güstrow Racoons",13447,"Wilson, Eric",-4.092,"LB",-4.0754,140
"Güstrow Racoons",15387,"Werner, Pete",-2.614,"LB",-2.6213,95
"Güstrow Racoons",14979,"Strnad, Justin",-6,"LB",-6.0029,218
"Güstrow Racoons",12703,"Ragland, Reggie",-2.462,"LB",-2.4612,89
"Güstrow Racoons",13746,"Green, Rasheem",-1.376,"DL",-1.3892,58
"Güstrow Racoons",15348,"Basham, Carlos",-3.224,"DL",-3.2197,116
"Güstrow Racoons",14896,"Queen, Patrick",1.6,"LB",1.6467,18
"Güstrow Racoons",13704,"Nwosu, Uchenna",-2.563,"DL",-2.5631,93
"Güstrow Racoons",13212,"Wormley, Chris",-0.724,"DL",-0.7209,47
"Güstrow Racoons",14164,"Jones, Dre'Mont",-2.671,"DL",-2.6816,97
"Güstrow Racoons",14412,"Singleton, Alex",4.788,"LB",3.4684,1
