player_id,player_name,vbd_true_avg,true_position,pick_value_raw
11676,"Matthews, Jordan",-10.194,WR,-6.5081
11737,"Dennard, Darqueze",-10.5,DB,-6.5081
11740,"Clinton-Dix, Ha Ha",-10.5,DB,-6.5081
11783,"Brown, John",-10.194,WR,-6.5081
11785,"Rodgers, Richard",-13.682,TE,-6.5081
11816,"Williamson, Avery",-9.4,LB,-6.5081
11925,"Hurns, Allen",-10.194,WR,-6.5081
12182,"Smith, Devin",-10.194,WR,-6.5081
12223,"Orchard, Nate",-7.938,DL,-6.5081
12281,"Richards, Jordan",-10.5,DB,-6.5081
12297,"Campbell, Ibraheim",-10.5,DB,-6.5081
12369,"Robinson, Edmond",-9.4,LB,-6.5081
12372,"Nzeocha, Mark",-9.4,LB,-6.5081
12474,"McGill, T.Y.",-7.938,DL,-6.5081
12542,"King, Brandon",-9.4,LB,-6.5081
12596,"LaCosse, Matt",-13.682,TE,-6.5081
12608,"Winchester, James",-13.682,TE,-6.5081
12623,"Driskel, Jeff",-16.289,QB,-6.5081
12665,"Allison, Geronimo",-10.194,WR,-6.5081
12733,"March, Justin",-9.4,LB,-6.5081
12748,"Davis, Sean",-10.5,DB,-6.5081
12755,"Redmond, Will",-10.5,DB,-6.5081
12774,"Goodson, B.J.",-9.4,LB,-6.5081
12807,"Hemingway, Temarrick",-13.682,TE,-6.5081
12826,"Lucas, Jordan",-10.5,DB,-6.5081
12830,"Frazier, Kavon",-10.5,DB,-6.5081
12898,"Travis, Ross",-13.682,TE,-6.5081
12938,"Poole, Brian",-10.5,DB,-6.5081
12958,"Norris, Jared",-9.4,LB,-6.5081
12970,"Boddy-Calhoun, Briean",-10.5,DB,-6.5081
12978,"Goodwin, C.J.",-10.5,DB,-6.5081
13026,"Onwuasor, Patrick",-9.4,LB,-6.5081
13075,"Milton, Chris",-10.5,DB,-6.5081
13144,"McGuire, Elijah",-9.006,RB,-6.5081
13202,"Lawson, Carl",-7.938,DL,-6.5081
13240,"Hill, Brian",-9.006,RB,-6.5081
13287,"Thompson, Tedric",-10.5,DB,-6.5081
13290,"Cohen, Tarik",-9.006,RB,-6.5081
13312,"Adams, Rodney",-10.194,WR,-6.5081
13314,"Allen, Brian",-10.5,DB,-6.5081
13336,"Ledbetter, Jeremiah",-7.938,DL,-6.5081
13366,"Schreck, Mason",-13.682,TE,-6.5081
13410,"Yarbrough, Eddie",-7.938,DL,-6.5081
13452,"Edmunds, Trey",-9.006,RB,-6.5081
13468,"Washington, Charles",-10.5,DB,-6.5081
13491,"Hardee, Justin",-10.5,DB,-6.5081
