"franchise_name","player_id","player_name","vbd_true_avg","true_position","pick_value_raw","comp_pick"
"Wüterich Packers",12768,"Schobert, Joe",6.320666667,"LB",3.4684,1
"Wüterich Packers",13765,"Young, Kenny",-2.988666667,"LB",-2.9945,108
"Wüterich Packers",9825,"Dunlap, Carlos",-0.557,"DL",-0.5884,45
"Wüterich Packers",11293,"Ogletree, Alec",-1.179,"LB",-1.157,54
"Wüterich Packers",12764,"Hargrave, Javon",-1.456,"DL",-1.4456,59
"Wüterich Packers",14221,"Williams, Quincy",-1.661,"LB",-1.6654,63
"Wüterich Packers",13293,"Reeves-Maybin, Jalen",-5.161666667,"LB",-5.1579,175
"Wüterich Packers",12272,"McKinney, Benardrick",1.291333333,"LB",1.2614,22
"Wüterich Packers",12481,"Hewitt, Neville",1.365,"LB",1.356,21
"Wüterich Packers",10266,"Heyward, Cameron",2.298333333,"DL",2.2569,12
"Wüterich Packers",14928,"Wilson, Logan",0.51,"LB",0.5455,30
"Wüterich Packers",15049,"Bachie, Joe",-6.2475,"LB",-6.245,233
"Wüterich Packers",12700,"Johnson, Austin",-4.187666667,"DL",-4.202,143
"Wüterich Packers",10768,"David, Lavonte",5.328,"LB",3.4684,1
"Wüterich Packers",14941,"Taylor, Davion",-5.0665,"LB",-5.0738,171
"Wüterich Packers",15431,"Fields, Tony",-9.4,"LB",-6.5081,252
"Wüterich Packers",15399,"Rice, Monty",-4.7,"LB",-4.6952,156
"Cologne Thunderkittens",14260,"Holcomb, Cole",4.036666667,"LB",3.4684,1
"Cologne Thunderkittens",12238,"Perryman, Denzel",1.955666667,"LB",1.9471,15
"Cologne Thunderkittens",12287,"Hicks, Jordan",5.677333333,"LB",3.4684,1
"Cologne Thunderkittens",14887,"Simmons, Isaiah",0.2035,"LB",0.2166,34
"Cologne Thunderkittens",14167,"Allen, Josh",-0.9166666667,"DL",-0.9129,50
"Cologne Thunderkittens",15379,"Tryon, Joe",-4.313,"DL",-4.3264,146
"Cologne Thunderkittens",15349,"Phillips, Jaelan",-1.813,"DL",-1.814,66
"Cologne Thunderkittens",14162,"Wilkins, Christian",-0.3293333333,"DL",-0.3113,41
"Cologne Thunderkittens",14882,"Greenard, Jonathan",-2.597,"DL",-2.5915,94
"Cologne Thunderkittens",14153,"Allen, Zach",-2.805333333,"DL",-2.7981,101
"Cologne Thunderkittens",11723,"Van Noy, Kyle",1.418333333,"LB",1.4518,20
"Cologne Thunderkittens",14148,"Sweat, Montez",-0.917,"DL",-0.9129,50
"Cologne Thunderkittens",13810,"Joseph-Day, Sebastian",-0.8776666667,"DL",-0.8498,49
"Cologne Thunderkittens",15404,"Jones, Ernest",-2,"LB",-2.0113,71
"Cologne Thunderkittens",15428,"Sherwood, Jamien",-5.4,"LB",-5.4031,187
"Cologne Thunderkittens",10267,"Miller, Von",-1.782,"LB",-1.7672,65
"Deevillage Moonwalkers",10775,"Wagner, Bobby",7.719333333,"LB",3.4684,1
"Deevillage Moonwalkers",14168,"White, Devin",7.109333333,"LB",3.4684,1
"Deevillage Moonwalkers",9833,"Pierre-Paul, Jason",0.458,"DL",0.4614,31
"Deevillage Moonwalkers",13813,"Oluokun, Foyesade",4.404,"LB",3.4684,1
"Deevillage Moonwalkers",12239,"Kendricks, Eric",7.166,"LB",3.4684,1
"Deevillage Moonwalkers",15082,"Barnes, Krys",0.5435,"LB",0.5455,30
"Deevillage Moonwalkers",15409,"Barnes, Derrick",-3.025,"LB",-3.0223,109
"Deevillage Moonwalkers",14221,"Williams, Quincy",-1.661,"LB",-1.6654,63
"Deevillage Moonwalkers",12831,"Roberts, Elandon",-2.140333333,"LB",-2.1344,75
"Deevillage Moonwalkers",14162,"Wilkins, Christian",-0.3293333333,"DL",-0.3113,41
"Deevillage Moonwalkers",11772,"Kirksey, Christian",2.514,"LB",2.4685,10
"Deevillage Moonwalkers",14148,"Sweat, Montez",-0.917,"DL",-0.9129,50
"Deevillage Moonwalkers",15543,"Griffith, Jonas",-4.4,"LB",-4.407,148
"Deevillage Moonwalkers",11706,"Clowney, Jadeveon",-1.287,"DL",-1.2745,56
"Deevillage Moonwalkers",14891,"Harrison, Malik",-6.274,"LB",-6.2751,235
"Deevillage Moonwalkers",15376,"Turner, Payton",-2.938,"DL",-2.9389,106
"Deevillage Moonwalkers",15386,"Odeyingbo, Dayo",-6.16,"DL",-6.1674,228
"Las Vegas Saints",11757,"Donald, Aaron",1.562333333,"DL",1.5487,19
"Las Vegas Saints",13198,"Garrett, Myles",1.849333333,"DL",1.8459,16
"Las Vegas Saints",12779,"Campbell, De'Vondre",5.531333333,"LB",3.4684,1
"Las Vegas Saints",10768,"David, Lavonte",5.328,"LB",3.4684,1
"Las Vegas Saints",13245,"Reddick, Haason",1.902333333,"DL",1.9471,15
"Las Vegas Saints",14892,"Brooks, Jordyn",2.726,"LB",2.6841,8
"Las Vegas Saints",13727,"Vander Esch, Leighton",1.29,"LB",1.2614,22
"Las Vegas Saints",14167,"Allen, Josh",-0.9166666667,"DL",-0.9129,50
"Las Vegas Saints",14235,"Tranquill, Drue",-2.999666667,"LB",-2.9945,108
"Las Vegas Saints",15355,"Bolton, Nick",2.467,"LB",2.4685,10
"Las Vegas Saints",15385,"Ojulari, Azeez",-0.876,"DL",-0.8498,49
"Las Vegas Saints",13306,"Walker, Anthony",4.094333333,"LB",3.4684,1
"Las Vegas Saints",12233,"Alexander, Kwon",0.3686666667,"LB",0.3785,32
"Las Vegas Saints",13688,"Davenport, Marcus",-1.550666667,"DL",-1.5566,61
"Las Vegas Saints",10272,"Watt, J.J.",-0.53,"DL",-0.5206,44
"Las Vegas Saints",14161,"Tillery, Jerry",-3.827666667,"DL",-3.8255,134
"Wichita´s Hall of Fame Squad",12745,"Jones, Deion",5.006333333,"LB",3.4684,1
"Wichita´s Hall of Fame Squad",13733,"Leonard, Darius",9.141333333,"LB",3.4684,1
"Wichita´s Hall of Fame Squad",13696,"Smith, Roquan",7.392666667,"LB",3.4684,1
"Wichita´s Hall of Fame Squad",13198,"Garrett, Myles",1.849333333,"DL",1.8459,16
"Wichita´s Hall of Fame Squad",14147,"Bosa, Nick",-0.08333333333,"DL",-0.0921,38
"Wichita´s Hall of Fame Squad",14882,"Greenard, Jonathan",-2.597,"DL",-2.5915,94
"Wichita´s Hall of Fame Squad",10272,"Watt, J.J.",-0.53,"DL",-0.5206,44
"Nordic Wolves",10775,"Wagner, Bobby",7.719333333,"LB",3.4684,1
"Nordic Wolves",12287,"Hicks, Jordan",5.677333333,"LB",3.4684,1
"Nordic Wolves",13733,"Leonard, Darius",9.141333333,"LB",3.4684,1
"Nordic Wolves",13743,"Warner, Fred",6.008,"LB",3.4684,1
"Nordic Wolves",14171,"Burns, Brian",-0.464,"DL",-0.4519,43
"Nordic Wolves",13684,"Hubbard, Sam",1.309,"DL",1.356,21
"Nordic Wolves",13307,"Milano, Matt",2.137,"LB",2.1526,13
"Nordic Wolves",11728,"Mosley, C.J.",7.0395,"LB",3.4684,1
"Nordic Wolves",13204,"Harris, Charles",-3.508333333,"DL",-3.4941,125
"Nordic Wolves",13304,"Brown, Jayon",3.962666667,"LB",3.4684,1
"Nordic Wolves",11769,"Lawrence, Demarcus",0.465,"DL",0.4614,31
"Nordic Wolves",13987,"Spillane, Robert",-4.543333333,"LB",-4.5594,152
"Nordic Wolves",13268,"Anzalone, Alex",-1.4,"LB",-1.3892,58
"Hintertupfingen Griffins",12688,"Buckner, DeForest",1.187333333,"DL",1.1678,23
"Hintertupfingen Griffins",12233,"Alexander, Kwon",0.3686666667,"LB",0.3785,32
"Hintertupfingen Griffins",14218,"Okereke, Bobby",1.617666667,"LB",1.6467,18
"Hintertupfingen Griffins",14171,"Burns, Brian",-0.464,"DL",-0.4519,43
"Hintertupfingen Griffins",14247,"Greenlaw, Dre",2.264,"LB",2.2569,12
"Hintertupfingen Griffins",14225,"Crosby, Maxx",-0.854,"DL",-0.8498,49
"Hintertupfingen Griffins",11772,"Kirksey, Christian",2.514,"LB",2.4685,10
"Hintertupfingen Griffins",13762,"White, Kyzir",1.580666667,"LB",1.5487,19
"Hintertupfingen Griffins",14672,"Reeder, Troy",-1.426333333,"LB",-1.4456,59
"Hintertupfingen Griffins",15431,"Fields, Tony",-9.4,"LB",-6.5081,252
"Hintertupfingen Griffins",15348,"Basham, Carlos",-3.224,"DL",-3.2197,116
"Hintertupfingen Griffins",13426,"Morrow, Nicholas",1.158,"LB",1.1678,23
"Hintertupfingen Griffins",15410,"Cox, Jabril",-9.114,"LB",-6.5081,252
"Dresden Jaguars",11721,"Mack, Khalil",0.7796666667,"DL",0.8051,27
"Dresden Jaguars",13706,"Baker, Jerome",3.99,"LB",3.4684,1
"Dresden Jaguars",13208,"Allen, Jonathan",-0.005666666667,"DL",-0.0167,37
"Dresden Jaguars",14218,"Okereke, Bobby",1.617666667,"LB",1.6467,18
"Dresden Jaguars",14948,"Walker, Mykal",-5.265,"LB",-5.2595,180
"Dresden Jaguars",14923,"Taylor, Darrell",-2.538,"DL",-2.5361,92
"Dresden Jaguars",14249,"Van Ginkel, Andrew",-1.625333333,"DL",-1.6113,62
"Dresden Jaguars",15350,"Parsons, Micah",4.038,"LB",3.4684,1
"Dresden Jaguars",13700,"Landry, Harold",1.895666667,"DL",1.8459,16
"Dresden Jaguars",13306,"Walker, Anthony",4.094333333,"LB",3.4684,1
"Dresden Jaguars",14882,"Greenard, Jonathan",-2.597,"DL",-2.5915,94
"Dresden Jaguars",13704,"Nwosu, Uchenna",-3.314333333,"DL",-3.3076,119
"Dresden Jaguars",12948,"Okwara, Romeo",-3.035666667,"DL",-3.0223,109
"Dresden Jaguars",14958,"Quarterman, Shaquille",-8.046,"LB",-6.5081,252
"Dresden Jaguars",15353,"Surratt, Chazz",-9.4,"LB",-6.5081,252
"Dresden Jaguars",15376,"Turner, Payton",-2.938,"DL",-2.9389,106
"Wandsbek Hogs",12280,"Clark, Frank",-2.084333333,"DL",-2.076,73
"Wandsbek Hogs",11706,"Clowney, Jadeveon",-1.287,"DL",-1.2745,56
"Wandsbek Hogs",13700,"Landry, Harold",1.895666667,"DL",1.8459,16
"Wandsbek Hogs",13775,"Bentley, Ja'Whaun",-0.2826666667,"LB",-0.3113,41
"Wandsbek Hogs",12762,"Vigil, Nick",-0.249,"LB",-0.2393,40
"Wandsbek Hogs",13697,"Edmunds, Tremaine",4.106333333,"LB",3.4684,1
"Wandsbek Hogs",12734,"Floyd, Leonard",-0.25,"DL",-0.2393,40
"Wandsbek Hogs",14200,"Tavai, Jahlani",-4.396,"LB",-4.407,148
"Wandsbek Hogs",13684,"Hubbard, Sam",1.309,"DL",1.356,21
"Wandsbek Hogs",14217,"Barton, Cody",-7.394666667,"LB",-6.5081,252
"Wandsbek Hogs",15385,"Ojulari, Azeez",-0.876,"DL",-0.8498,49
"Wandsbek Hogs",10465,"Smith, Malcolm",-2.973666667,"LB",-2.9667,107
"Wandsbek Hogs",14891,"Harrison, Malik",-6.274,"LB",-6.2751,235
"Wandsbek Hogs",11299,"Bostic, Jon",0.8396666667,"LB",0.8051,27
"Wandsbek Hogs",14948,"Walker, Mykal",-5.265,"LB",-5.2595,180
"Wandsbek Hogs",13702,"Jewell, Josey",-0.7543333333,"LB",-0.7858,48
"Wandsbek Hogs",14979,"Strnad, Justin",-6,"LB",-6.0029,218
"Wandsbek Hogs",15387,"Werner, Pete",-2.614,"LB",-2.6213,95
