week,franchise_id,win,pf,pp,coach,all_play_wins,pf_rank,pp_rank,record_rank,all_play_rank,coach_rank,true_standing,true_rank
05,0012,1,220.62,250.62,-30,18,18,25,2,18,10,73,18
04,0003,1,209.8,233.3,-23.5,16,20,30,2,20,2,74,19
05,0004,2,220.14,251.56,-31.42,17,19,23,1,19,12,74,19
03,0005,2,239.28,306.73,-67.45,20,16,9,1,16,32,74,18
01,0014,0,202.99,296.42,-93.43,19,17,7,3,17,31,75,17
06,0035,1,215.15,260.61,-45.46,19,17,17,2,17,22,75,19
01,0015,1,201.37,311.54,-110.17,18,18,3,2,18,35,76,18
06,0008,0,210.78,242.55,-31.77,15,20,26,3,21,7,77,20
03,0022,0,236.18,284.68,-48.5,17,19,15,3,19,21,77,19
02,0017,1,227.04,277.06,-50.02,17,19,23,2,19,14,77,17
03,0001,0,232.86,267.36,-34.5,15,21,22,3,21,11,78,20
04,0035,1,206.82,249,-42.18,15,21,25,2,21,9,78,20
02,0005,1,234.58,305.28,-70.7,20,16,11,2,16,33,78,18
04,0023,2,210.62,271.02,-60.4,17,19,18,1,19,21,78,21
03,0009,0,236.11,275.5,-39.39,16,20,19,3,20,17,79,21
02,0015,2,225.7,268.53,-42.83,15,21,26,1,21,10,79,19
02,0013,2,228.56,293.12,-64.56,19,17,17,1,17,27,79,20
02,0025,0,226.45,274.81,-48.36,16,20,24,3,20,13,80,21
01,0033,1,199.42,251.92,-52.5,17,19,25,2,19,16,81,19
05,0035,1,219.26,288.06,-68.8,16,20,9,2,20,30,81,20
01,0026,2,197.1,257.2,-60.1,16,20,21,1,20,19,81,20
06,0026,0,207.41,226.05,-18.64,12,23,30,3,24,2,82,21
02,0028,0,225.07,260.87,-35.8,14,22,29,3,22,6,82,22
06,0021,0,212.5,278.5,-66,16,19,11,3,20,30,83,22
01,0028,2,192.5,232.34,-39.84,14,22,30,1,22,8,83,21
06,0028,0,208.8,245.96,-37.16,14,21,23,3,22,15,84,23
02,0003,0,222.96,245.22,-22.26,12,24,33,3,24,2,86,23
06,0025,1,200.76,217.76,-17,11,24,34,2,25,1,86,24
01,0010,0,193.48,256.54,-63.06,15,21,22,3,21,20,87,22
04,0031,0,195.14,235.44,-40.3,12,24,29,3,24,7,87,22
04,0016,1,193.74,231.24,-37.5,11,25,31,2,25,4,87,23
05,0029,1,211.16,294.82,-83.66,14,22,8,2,22,33,87,21
02,0008,1,224.2,325.67,-101.47,13,23,3,2,23,36,87,24
03,0032,2,204.52,236.22,-31.7,12,24,32,1,24,7,88,22
06,0023,0,207.54,249.63,-42.09,13,22,21,3,23,20,89,25
05,0028,0,209.02,239.52,-30.5,13,23,30,3,23,11,90,22
05,0013,0,212.72,263.42,-50.7,15,21,20,3,21,25,90,23
01,0002,2,183.98,223.38,-39.4,11,25,32,1,25,7,90,23
04,0022,0,195.82,253.31,-57.49,13,23,24,3,23,18,91,24
01,0025,1,186.56,238.26,-51.7,13,23,28,2,23,15,91,24
03,0021,1,226.78,292.98,-66.2,14,22,14,2,22,31,91,23
03,0008,0,217.82,257.85,-40.03,13,23,24,3,23,19,92,24
06,0010,2,196.75,224.85,-28.1,9,26,32,1,27,6,92,26
01,0013,0,184.68,293.94,-109.26,12,24,9,3,24,33,93,25
05,0026,0,195.86,210.26,-14.4,9,27,35,3,27,1,93,24
04,0010,1,201.88,296.8,-94.92,14,22,14,2,22,33,93,25
05,0027,1,204.39,236.34,-31.95,12,24,31,2,24,13,94,25
03,0035,0,197.45,224.55,-27.1,9,27,35,3,27,4,96,25
01,0004,1,183.96,264.08,-80.12,10,26,15,2,26,27,96,26
04,0029,0,191.94,330.8,-138.86,10,26,7,3,26,35,97,26
05,0002,2,202.44,251.39,-48.95,11,25,24,1,25,22,97,26
03,0003,1,199.07,247.22,-48.15,11,25,26,2,25,20,98,26
04,0008,0,188.36,226.54,-38.18,7,29,33,3,29,5,99,27
02,0014,0,216.85,270.3,-53.45,9,27,25,3,27,18,100,25
06,0029,1,199.33,245.47,-46.14,10,25,24,2,26,24,101,27
02,0004,2,221.08,291.18,-70.1,11,25,18,1,25,32,101,26
02,0009,0,212.64,251.04,-38.4,6,30,32,3,30,7,102,27
03,0028,0,197.68,237.48,-39.8,10,26,30,3,26,18,103,27
02,0018,0,218.14,285.18,-67.04,10,26,20,3,26,29,104,28
06,0016,1,188.52,225.34,-36.82,7,28,31,2,29,14,104,28
04,0011,2,191.58,270.48,-78.9,9,27,19,1,27,30,104,28
01,0016,0,181.76,250.99,-69.23,9,27,26,3,27,22,105,27
04,0024,0,188.72,257.01,-68.29,8,28,23,3,28,23,105,29
05,0016,0,197.59,261.02,-63.43,10,26,21,3,26,29,105,27
01,0008,1,175,224.54,-49.54,7,29,31,2,29,14,105,28
01,0006,0,176.54,259.23,-82.69,8,28,19,3,28,28,106,29
03,0025,0,194.61,231.31,-36.7,8,28,33,3,28,14,106,28
06,0014,0,196.08,267.22,-71.14,8,27,15,3,28,33,106,29
02,0032,0,216.46,278.76,-62.3,8,28,22,3,28,25,106,29
01,0003,0,165.79,204.73,-38.94,4,32,35,3,32,5,107,30
06,0032,0,183.46,215.26,-31.8,5,30,35,3,31,8,107,30
04,0009,0,184.3,244.4,-60.1,6,30,26,3,30,20,109,30
03,0027,0,192.23,228.73,-36.5,6,30,34,3,30,12,109,29
03,0014,0,194.6,245.7,-51.1,7,29,27,3,29,22,110,30
06,0027,0,186.68,224.66,-37.98,6,29,33,3,30,16,111,31
05,0010,0,189,266.58,-77.58,7,29,18,3,29,32,111,28
05,0008,1,191.82,241.72,-49.9,8,28,29,2,28,24,111,29
02,0020,1,206.9,258.3,-51.4,4,32,30,2,32,15,111,30
04,0028,0,173.96,221.93,-47.97,4,32,34,3,32,11,112,31
02,0022,0,215.4,294.65,-79.25,7,29,16,3,29,35,112,31
01,0019,0,170.56,240.56,-70,6,30,27,3,30,23,113,31
01,0027,0,159.7,200.16,-40.46,3,33,36,3,33,9,114,32
02,0026,0,207.02,266.95,-59.93,5,31,27,3,31,22,114,32
06,0031,1,168.84,203.28,-34.44,2,33,36,2,34,10,115,32
05,0033,0,174.82,274.24,-99.42,5,31,16,3,31,35,116,30
02,0011,0,198.88,243.64,-44.76,2,34,34,3,34,11,116,33
04,0020,0,178.74,262.18,-83.44,5,31,21,3,31,31,117,32
02,0035,0,198.74,240.87,-42.13,1,35,35,3,35,9,117,34
05,0034,0,181.96,243.96,-62,6,30,27,3,30,28,118,31
03,0026,0,189.38,242.82,-53.44,4,32,28,3,32,23,118,31
01,0035,1,165.93,252.49,-86.56,5,31,24,2,31,30,118,33
06,0009,1,179.22,256.81,-77.59,4,31,18,2,32,36,119,33
03,0036,1,190.76,273.14,-82.38,5,31,21,2,31,34,119,32
04,0032,0,168.1,219.8,-51.7,2,34,35,3,34,14,120,33
04,0033,1,170.64,239.64,-69,3,33,27,2,33,26,121,34
03,0029,0,182.22,218.87,-36.65,1,35,36,3,35,13,122,33
03,0010,0,187.36,252.24,-64.88,3,33,25,3,33,30,124,34
02,0030,0,203.39,281.17,-77.78,3,33,21,3,33,34,124,35
01,0009,0,147.47,257.24,-109.77,2,34,20,3,34,34,125,34
05,0020,0,165.39,205.59,-40.2,3,33,36,3,33,20,125,32
06,0030,0,178.54,238.94,-60.4,3,32,28,3,33,29,125,34
03,0031,0,183.89,239.32,-55.43,2,34,29,3,34,25,125,35
05,0014,0,172.77,228.74,-55.97,4,32,33,3,32,26,126,33
02,0001,0,182.2,235.42,-53.22,0,36,36,3,36,16,127,36
05,0001,0,163.92,213.62,-49.7,2,34,34,3,34,23,128,34
04,0001,0,160.1,228.87,-68.77,1,35,32,3,35,25,130,35
05,0023,0,150.94,254.49,-103.55,1,35,22,3,35,36,131,35
06,0020,0,168.35,243.08,-74.73,1,34,25,3,35,34,131,35
03,0033,0,175.76,237.32,-61.56,0,36,31,3,36,28,134,36
01,0020,0,128.07,212.74,-84.67,1,35,33,3,35,29,135,35
06,0001,0,159.04,235.93,-76.89,0,35,29,3,36,35,138,36
04,0027,0,140.81,219.71,-78.9,0,36,36,3,36,30,141,36
05,0015,0,149.02,233.02,-84,0,36,32,3,36,34,141,36
01,0032,0,0,207.84,-207.84,0,36,34,3,36,36,145,36
