"overall","player_id","player_name","vbd_true"
54,13156,"Smith-Schuster, JuJu",2.1388
55,13176,"Jones, Zay",-5.391
56,13228,"Hooker, Malik",-4.0496
57,13143,"McNichols, Jeremy",-8.707
58,13134,"Foreman, D'Onta",-3.0645
59,13156,"Smith-Schuster, JuJu",2.1388
60,13156,"Smith-Schuster, JuJu",2.1388
61,13216,"Cunningham, Zach",3.9418
62,13176,"Jones, Zay",-5.391
63,13216,"Cunningham, Zach",3.9418
64,13234,"Mack, Marlon",-1.3846
65,13216,"Cunningham, Zach",3.9418
66,13176,"Jones, Zay",-5.391
67,13139,"Williams, Jamaal",-1.3386
68,13139,"Williams, Jamaal",-1.3386
69,13234,"Mack, Marlon",-1.3846
70,13134,"Foreman, D'Onta",-3.0645
71,13157,"Samuel, Curtis",-2.2854
72,13230,"Adams, Jamal",3.2816
73,13230,"Adams, Jamal",3.2816
74,13157,"Samuel, Curtis",-2.2854
75,13139,"Williams, Jamaal",-1.3386
76,13143,"McNichols, Jeremy",-8.707
77,13234,"Mack, Marlon",-1.3846
78,13230,"Adams, Jamal",3.2816
79,13134,"Foreman, D'Onta",-3.0645
81,13113,"Watson, Deshaun",5.54875
82,13113,"Watson, Deshaun",5.54875
83,13190,"Butt, Jake",-6.271
84,13157,"Samuel, Curtis",-2.2854
85,13224,"Lattimore, Marshon",-0.0325999999999997
86,13113,"Watson, Deshaun",5.54875
87,13164,"Kupp, Cooper",6.3924
89,13224,"Lattimore, Marshon",-0.0325999999999997
90,13164,"Kupp, Cooper",6.3924
92,13231,"Peppers, Jabrill",0.831000000000001
93,13214,"Watt, T.J.",4.505
94,13228,"Hooker, Malik",-4.0496
95,13199,"Thomas, Solomon",-4.3266
97,13201,"Barnett, Derek",-2.38
99,13163,"Godwin, Chris",3.3688
100,13168,"Reynolds, Josh",-5.3866
101,13163,"Godwin, Chris",3.3688
102,13228,"Hooker, Malik",-4.0496
103,13116,"Mahomes, Patrick",3.9476
104,13222,"McMillan, Raekwon",-1.665
105,13173,"Stewart, ArDarius",-9.154
106,13116,"Mahomes, Patrick",3.9476
107,13163,"Godwin, Chris",3.3688
108,13199,"Thomas, Solomon",-4.3266
109,13115,"Trubisky, Mitchell",-4.7298
110,13236,"Everett, Gerald",-3.8644
111,13173,"Stewart, ArDarius",-9.154
112,13222,"McMillan, Raekwon",-1.665
113,13222,"McMillan, Raekwon",-1.665
114,13199,"Thomas, Solomon",-4.3266
115,13367,"Carr, Austin",-9.7675
116,13201,"Barnett, Derek",-2.38
117,13146,"Conner, James",2.8974
118,13146,"Conner, James",2.8974
119,13116,"Mahomes, Patrick",3.9476
120,13168,"Reynolds, Josh",-5.3866
121,13208,"Allen, Jonathan",-0.8734
122,13201,"Barnett, Derek",-2.38
123,13208,"Allen, Jonathan",-0.8734
124,13231,"Peppers, Jabrill",0.831000000000001
125,13208,"Allen, Jonathan",-0.8734
126,13231,"Peppers, Jabrill",0.831000000000001
127,13261,"Melifonwu, Obi",-8.909
128,13146,"Conner, James",2.8974
129,13224,"Lattimore, Marshon",-0.0325999999999997
130,13164,"Kupp, Cooper",6.3924
131,13190,"Butt, Jake",-6.271
132,13190,"Butt, Jake",-6.271
133,13205,"McKinley, Takkarist",-3.6892
134,13200,"Charlton, Taco",-4.0404
135,13200,"Charlton, Taco",-4.0404
136,13167,"Taylor, Taywan",-8.30975
