"season","week","player_id","player_name","team","points","is_available","ppg","true_position","mfl_position","vbd_mfl","vbd_true"
2021,"YTD",11724,"Jones, Christian","CHI",27,"1",1.688,"LB","LB",-8.579,-7.712
2021,"YTD",10879,"Trevathan, Danny","CHI",27,"1",5.4,"LB","LB",-4.867,-4
2018,"YTD",12362,"Pullard, Hayes","LAC",26,"1",2.889,"LB","LB",-7.111,-6.423
2019,"YTD",12710,"Brothers, Kentrell","MIN",26,"1",2,"LB","LB",-7.875,-7.188
2021,"YTD",14247,"Greenlaw, Dre","SFO",26,"0",13,"LB","LB",2.733,3.6
2017,"YTD",12487,"Timu, John","CHI",25,"1",2.273,"LB","LB",-7.415,-9.112
2017,"YTD",13489,"Grant, Curtis","NYG",25,"1",2.778,"LB","LB",-6.91,-8.607
2018,"YTD",13795,"Ejiofor, Duke","HOU",25,"1",2.083,"LB","LB",-7.917,-7.229
2018,"YTD",10321,"Carter, Bruce","ATL",25,"1",2.273,"LB","LB",-7.727,-7.039
2018,"YTD",12216,"Ray, Shane","DEN",25,"1",2.273,"LB","LB",-7.727,-7.039
2020,"YTD",12072,"Taylor, Adarius","CAR",25,"1",1.923,"LB","LB",-9.462,-7.144
2021,"YTD",14303,"Elliss, Kaden","NOS",25,"1",2.083,"LB","LB",-8.184,-7.317
2021,"YTD",15117,"Flannigan-Fowles, Demetrius","SFO",25,"1",1.562,"LB","LB",-8.705,-7.838
2018,"YTD",11078,"Lamur, Emmanuel","NYJ",24,"1",2.4,"LB","LB",-7.6,-6.912
2020,"YTD",12358,"Chickillo, Anthony","DEN",24,"1",2.182,"LB","LB",-9.203,-6.885
2021,"YTD",13833,"Howard, Travin","LAR",24,"1",2.182,"LB","LB",-8.085,-7.218
2021,"YTD",13779,"Kiser, Micah","DEN",24,"1",2.4,"LB","LB",-7.867,-7
2018,"YTD",13563,"Bullough, Riley","TBB",23,"1",2.556,"LB","LB",-7.444,-6.756
2021,"YTD",14151,"Ferrell, Clelin","LVR",23,"1",1.533,"DL","LB",-8.734,-6.405
2021,"YTD",14217,"Barton, Cody","SEA",23,"1",1.533,"LB","LB",-8.734,-7.867
2017,"YTD",8762,"Durant, Justin","FA",22,"1",3.143,"LB","LB",-6.545,-8.242
2018,"YTD",10224,"Rey, Vincent","CIN",22,"1",1.375,"LB","LB",-8.625,-7.937
2021,"YTD",15018,"Russell, Chapelle","JAC",22,"1",1.375,"LB","LB",-8.892,-8.025
2021,"YTD",12964,"Scarlett, Brennan","MIA",22,"1",1.833,"LB","LB",-8.434,-7.567
2021,"YTD",14728,"Roberson, Derick","TEN",22,"1",4.4,"LB","LB",-5.867,-5
2021,"YTD",13329,"Vallejo, Tanner","ARI",22,"1",2.2,"LB","LB",-8.067,-7.2
2019,"YTD",9425,"Wake, Cameron","TEN",21,"1",2.333,"LB","LB",-7.542,-6.855
2020,"YTD",14493,"Hall, Nate","HOU",20,"1",2.222,"LB","LB",-9.163,-6.845
2021,"YTD",15428,"Sherwood, Jamien","NYJ",20,"0",4,"LB","LB",-6.267,-5.4
2017,"YTD",9882,"Young, Willie","CHI",19,"1",4.75,"LB","LB",-4.938,-6.635
2018,"YTD",13993,"Deluca, Nick","JAC",19,"1",2.111,"LB","LB",-7.889,-7.201
2021,"YTD",15456,"Niemann, Nick","LAC",19,"1",1.188,"LB","LB",-9.079,-8.212
2021,"YTD",14401,"Eguavoen, Sam","MIA",19,"1",1.188,"LB","LB",-9.079,-8.212
2021,"YTD",12525,"Thomas, Joe","FA",19,"1",2.714,"LB","LB",-7.553,-6.686
2017,"YTD",12730,"Bishop, Freddie","NYJ",18,"1",4.5,"LB","LB",-5.188,-6.885
2017,"YTD",11305,"Jenkins, Jelani","HOU",18,"1",2.571,"LB","LB",-7.117,-8.814
2019,"YTD",13291,"Gedeon, Ben","MIN",18,"1",2.25,"LB","LB",-7.625,-6.938
2021,"YTD",13702,"Jewell, Josey","DEN",18,"0",9,"LB","LB",-1.267,-0.4
2021,"YTD",15141,"Gill, Cam","TBB",18,"1",1.5,"LB","LB",-8.767,-7.9
2021,"YTD",14472,"Dodson, Tyrel","BUF",18,"1",1.2,"LB","LB",-9.067,-8.2
2021,"YTD",14478,"Vaughters, James","ATL",18,"1",1.636,"LB","LB",-8.631,-7.764
2021,"YTD",11821,"Smith, Chris","HOU",18,"1",6,"LB","LB",-4.267,-3.4
