"player_id","player_name","starter","points","ppg_avg","vbd_mfl_total","vbd_mfl_avg","vbd_true_total","vbd_true_avg","true_position","mfl_position","tier_mfl","tier_true"
14107,"Arcega-Whiteside, JJ",0,5.6,1.66366666666667,-9.821,-9.821,-9.821,-9.821,"WR","WR",6,6
15103,"Gilliam, Reggie",0,5.6,0.5555,-13.309,-13.309,-13.309,-13.309,"TE","TE",6,6
15339,"Yeboah, Kenny",0,5.6,0.7,-12.982,-12.982,-12.982,-12.982,"TE","TE",6,6
15096,"Nabers, Gabe",0,5.5,0.9485,-8.456,-8.456,-8.456,-8.456,"RB","RB",6,6
15285,"Wallace, Tylan",0,5.47,0.342,-9.852,-9.852,-9.852,-9.852,"WR","WR",6,6
14533,"Taylor, Malik",0,5.31,1.049,-9.663,-9.663,-9.663,-9.663,"WR","WR",6,6
15301,"Atwell, Tutu",0,5.31,0.664,-9.53,-9.53,-9.53,-9.53,"WR","WR",6,6
13613,"Samuels, Jaylen",0,5.3,4.12625,-7.239,-7.239,-7.239,-7.239,"RB","RB",6,6
14871,"Parkinson, Colby",0,5.29,0.5035,-13.275,-13.275,-13.275,-13.275,"TE","TE",6,6
14612,"Laird, Patrick",0,5.1,2.278,-8.156,-8.156,-8.156,-8.156,"RB","RB",6,6
14551,"Irwin, Trenton",0,5.05,1.255,-9.184,-9.184,-9.184,-9.184,"WR","WR",6,6
11511,"Bates, Daren",0,5,0.3618,-9.434,-9.434,-8.567,-8.567,"LB","LB",6,6
11807,"Urban, Brent",0,5,2.5908,-5.729,-5.729,-7.105,-7.105,"DL","DL",6,6
12494,"Dzubnar, Nick",0,5,0.0874,-9.955,-9.955,-9.088,-9.088,"LB","LB",6,6
12717,"Joseph, Karl",0,5,7.9712,-8,-8,-8,-8,"DB","DB",6,6
13683,"Hand, Da'Shawn",0,5,3.613,-4.895,-4.895,-6.271,-6.271,"DL","DL",6,6
13942,"Gray, J.T.",0,5,0.28625,-10.167,-10.167,-10.167,-10.167,"DB","DB",6,6
13954,"Finch, Sharif",0,5,2.24275,-9.017,-9.017,-8.15,-8.15,"LB","LB",6,6
13955,"Moore, A.J.",0,5,1.4945,-10.045,-10.045,-10.045,-10.045,"DB","DB",6,6
14955,"Scott, Josiah",0,5,1.7085,-10.083,-10.083,-10.083,-10.083,"DB","DB",6,6
