"player_id","player_name","starter","points","ppg","vbd_mfl_total","vbd_mfl_avg","vbd_true_total","vbd_true_avg","true_position","mfl_position","tier_mfl","tier_true"
14126,"Williams, Preston",0,97.55,7.75633333333333,-9.513,-3.171,-9.513,-3.171,"WR","WR",6,6
10793,"Hayward, Casey",3,97,5.997,-14.92,-4.97333333333333,-14.92,-4.97333333333333,"DB","DB",6,6
12229,"Phillips, Jordan",0,97,5.428,-4.861,-1.62033333333333,-8.154,-2.718,"DL","DL",5,6
12707,"Jenkins, Jordan",0,97,5.243,-12.093,-4.031,-10.464,-3.488,"DL","DL",5,6
13330,"Muhammad, Al-Quadin",1,97,4.41633333333333,-7.896,-2.632,-11.189,-3.72966666666667,"DL","DL",6,6
14222,"Edwards, Mike",0,97,5.78233333333333,-15.564,-5.188,-15.564,-5.188,"DB","DB",6,6
13403,"Koo, Younghoe",0,96.5,10.2233333333333,5.356,1.78533333333333,5.356,1.78533333333333,"PK","PK",3,3
15271,"Herbert, Khalil",0,96.22,6.014,-2.992,-2.992,-2.992,-2.992,"RB","RB",6,6
13155,"Ross, John",0,96,5.78966666666667,-15.413,-5.13766666666667,-15.413,-5.13766666666667,"WR","WR",6,6
14902,"Okudah, Jeff",1,96,9.8335,-3.119,-1.5595,-3.119,-1.5595,"DB","DB",6,6
15384,"Samuel, Asante",1,96,8.727,-1.773,-1.773,-1.773,-1.773,"DB","DB",6,6
11951,"Snead, Willie",0,95.67,4.70133333333333,-18.678,-6.226,-18.678,-6.226,"WR","WR",6,6
12181,"Agholor, Nelson",0,95.35,9.13933333333333,-5.364,-1.788,-5.364,-1.788,"WR","WR",6,6
9465,"Chung, Patrick",1,95,7.308,-2.817,-2.817,-2.817,-2.817,"DB","DB",6,6
15387,"Werner, Pete",0,95,6.786,-3.481,-3.481,-2.614,-2.614,"LB","LB",6,6
7877,"Gore, Frank",0,94.9,6.339,-7.025,-3.5125,-7.025,-3.5125,"RB","RB",6,6
14158,"Oliver, Ed",0,94,5.29166666666667,-5.27,-1.75666666666667,-8.563,-2.85433333333333,"DL","DL",6,6
15365,"Moehrig, Trevon",1,94,5.875,-4.625,-4.625,-4.625,-4.625,"DB","DB",6,6
13391,"Hollister, Jacob",0,93.9,5.11266666666667,-17.285,-5.76166666666667,-17.285,-5.76166666666667,"TE","TE",3,3
11186,"Thompson, Chris",0,93.6,6.917,-5.869,-2.9345,-5.869,-2.9345,"RB","RB",6,6
13850,"Edwards, Gus",0,93.6,6.9625,-5.778,-2.889,-5.778,-2.889,"RB","RB",6,6
11403,"Williams, Vince",0,93,8.143,-4.974,-2.487,-1.969,-0.9845,"LB","LB",6,6
12697,"Robinson, A'Shawn",0,93,5.364,-5.053,-1.68433333333333,-8.346,-2.782,"DL","DL",6,6
12829,"Canady, Maurice",0,93,4.22,-12.185,-6.0925,-12.185,-6.0925,"DB","DB",6,6
14013,"Sullivan, Chandon",1,93,4.988,-17.947,-5.98233333333333,-17.947,-5.98233333333333,"DB","DB",6,6
14151,"Ferrell, Clelin",0,93,4.54733333333333,-17.885,-5.96166666666667,-10.796,-3.59866666666667,"DL","LB",6,6
15378,"Oweh, Jayson",0,93,6.2,-4.067,-4.067,-1.738,-1.738,"DL","LB",6,6
9064,"Flacco, Joe",0,92.88,11.8573333333333,-16.287,-5.429,-16.287,-5.429,"QB","QB",4,4
13564,"Ficken, Sam",0,92.85,5.931,-4.635,-2.3175,-4.635,-2.3175,"PK","PK",3,3
13718,"Carlson, Daniel",0,92.5,8.21966666666667,-0.655000000000001,-0.218333333333334,-0.655000000000001,-0.218333333333334,"PK","PK",3,3
11640,"Bridgewater, Teddy",0,92.46,14.1123333333333,-9.522,-3.174,-9.522,-3.174,"QB","QB",4,4
11045,"Harrison, Damon",0,92,4.138,-6.307,-3.1535,-8.224,-4.112,"DL","DL",6,6
12698,"Reed, Jarran",1,92,5.27066666666667,-5.333,-1.77766666666667,-8.626,-2.87533333333333,"DL","DL",6,6
14839,"Reagor, Jalen",0,91.9,7.0585,-7.571,-3.7855,-7.571,-3.7855,"WR","WR",6,6
14837,"Hamler, KJ",0,91.66,5.592,-10.504,-5.252,-10.504,-5.252,"WR","WR",6,6
12110,"Brate, Cameron",0,91.1,4.88766666666667,-17.96,-5.98666666666667,-17.96,-5.98666666666667,"TE","TE",3,3
14672,"Reeder, Troy",0,91,7.792,-8.151,-2.717,-4.279,-1.42633333333333,"LB","LB",6,6
15109,"Westbrook-Ikhine, Nick",0,90.8,6.053,-4.141,-4.141,-4.141,-4.141,"WR","WR",6,6
12505,"Humphries, Adam",0,90.4,6.88833333333333,-12.117,-4.039,-12.117,-4.039,"WR","WR",6,6
14834,"Ruggs, Henry",0,90.33,9.6595,-2.369,-1.1845,-2.369,-1.1845,"WR","WR",6,6
11975,"Gabriel, Taylor",0,90.3,10.033,-1.061,-1.061,-1.061,-1.061,"WR","WR",6,6
10806,"Wolfe, Derek",0,90,6.643,-1.297,-0.6485,-3.214,-1.607,"DL","DL",6,6
12295,"Geathers, Clayton",0,90,6,-4.125,-4.125,-4.125,-4.125,"DB","DB",6,6
12802,"Reader, D.J.",0,90,5.689,-4.078,-1.35933333333333,-7.371,-2.457,"DL","DL",6,6
14161,"Tillery, Jerry",1,90,4.31833333333333,-8.19,-2.73,-11.483,-3.82766666666667,"DL","DL",6,6
14717,"McLaughlin, Chase",0,89.9,6.227,-6.633,-2.211,-6.633,-2.211,"PK","PK",3,3
13236,"Everett, Gerald",0,89.8,7.04,-11.503,-3.83433333333333,-11.503,-3.83433333333333,"TE","TE",3,3
13753,"Akins, Jordan",0,89.8,5.13766666666667,-17.21,-5.73666666666667,-17.21,-5.73666666666667,"TE","TE",3,3
12912,"Richard, Jalen",0,89.49,4.29666666666667,-15.819,-5.273,-15.819,-5.273,"RB","RB",6,6
11890,"Wilson, Albert",0,89.4,5.287,-10.714,-5.357,-10.714,-5.357,"WR","WR",6,6
11498,"Addae, Jahleel",0,89,3.619,-22.054,-7.35133333333333,-22.054,-7.35133333333333,"DB","DB",6,6
13260,"Tomlinson, Dalvin",0,89,5.20966666666667,-5.516,-1.83866666666667,-8.809,-2.93633333333333,"DL","DL",6,6
12316,"Davison, Tyeler",0,88,3.963,-9.256,-3.08533333333333,-12.549,-4.183,"DL","DL",6,6
12753,"Nassib, Carl",0,88,4.91766666666667,-6.392,-2.13066666666667,-9.685,-3.22833333333333,"DL","DL",6,6
13201,"Barnett, Derek",1,88,5.66266666666667,-4.157,-1.38566666666667,-7.45,-2.48333333333333,"DL","DL",6,6
