"franchise_id","season","unit","grouping","personnel","grouping_order","xmax","xmin","ymin","ymax","xcenter","ycenter","position","count","x","xoffset","y","yoffset","is_to_big","A","is_biggest"
"0007",2016,"defense","243","02412",2,1,0.583333333333333,0,0.4,0.791666666666667,0.2,"DE",2,0.951666666666667,0.846666666666667,0.12,0.08,6,0.166666666666667,0
"0007",2016,"defense","243","02412",2,1,0.583333333333333,0,0.4,0.791666666666667,0.2,"LB",4,0.871666666666667,0.686666666666667,0.2,0.16,6,0.166666666666667,0
"0007",2016,"defense","243","02412",2,1,0.583333333333333,0,0.4,0.791666666666667,0.2,"LB",4,0.951666666666667,0.766666666666667,0.2,0.16,6,0.166666666666667,0
"0007",2016,"defense","243","02412",2,1,0.583333333333333,0,0.4,0.791666666666667,0.2,"LB",4,1.03166666666667,0.846666666666667,0.2,0.16,6,0.166666666666667,0
"0007",2016,"defense","243","02412",2,1,0.583333333333333,0,0.4,0.791666666666667,0.2,"LB",4,1.11166666666667,0.926666666666667,0.2,0.16,6,0.166666666666667,0
"0007",2016,"defense","243","02412",2,1,0.583333333333333,0,0.4,0.791666666666667,0.2,"S",2,0.871666666666667,0.766666666666667,0.36,0.32,6,0.166666666666667,0
"0007",2016,"defense","243","02412",2,1,0.583333333333333,0,0.4,0.791666666666667,0.2,"S",2,0.951666666666667,0.846666666666667,0.36,0.32,6,0.166666666666667,0
"0007",2016,"defense","243","02421",2,0.791666666666667,0.583333333333333,0.4,0.8,0.6875,0.6,"CB",2,0.7675,0.6625,0.68,0.64,8,0.0833333333333334,0
"0007",2016,"defense","243","02421",2,0.791666666666667,0.583333333333333,0.4,0.8,0.6875,0.6,"CB",2,0.8475,0.7425,0.68,0.64,8,0.0833333333333334,0
"0007",2016,"defense","243","02421",2,0.791666666666667,0.583333333333333,0.4,0.8,0.6875,0.6,"DE",2,0.7675,0.6625,0.52,0.48,8,0.0833333333333334,0
"0007",2016,"defense","243","02421",2,0.791666666666667,0.583333333333333,0.4,0.8,0.6875,0.6,"DE",2,0.8475,0.7425,0.52,0.48,8,0.0833333333333334,0
"0007",2016,"defense","243","02421",2,0.791666666666667,0.583333333333333,0.4,0.8,0.6875,0.6,"LB",4,0.7675,0.5825,0.6,0.56,8,0.0833333333333334,0
"0007",2016,"defense","243","02421",2,0.791666666666667,0.583333333333333,0.4,0.8,0.6875,0.6,"LB",4,0.8475,0.6625,0.6,0.56,8,0.0833333333333334,0
"0007",2016,"defense","243","02421",2,0.791666666666667,0.583333333333333,0.4,0.8,0.6875,0.6,"LB",4,0.9275,0.7425,0.6,0.56,8,0.0833333333333334,0
"0007",2016,"defense","243","02421",2,0.791666666666667,0.583333333333333,0.4,0.8,0.6875,0.6,"LB",4,1.0075,0.8225,0.6,0.56,8,0.0833333333333334,0
"0007",2016,"defense","243","02421",2,0.791666666666667,0.583333333333333,0.4,0.8,0.6875,0.6,"S",1,0.7675,0.7025,0.76,0.72,8,0.0833333333333334,0
"0007",2021,"defense","252","02502",1,0.923076923076923,0,0,1,0.461538461538462,0.5,"DE",2,0.541538461538462,0.436538461538461,0.42,0.38,0,0.923076923076923,1
"0007",2021,"defense","252","02502",1,0.923076923076923,0,0,1,0.461538461538462,0.5,"DE",2,0.621538461538462,0.516538461538462,0.42,0.38,0,0.923076923076923,1
"0007",2021,"defense","252","02502",1,0.923076923076923,0,0,1,0.461538461538462,0.5,"LB",5,0.541538461538462,0.316538461538461,0.5,0.46,0,0.923076923076923,1
"0007",2021,"defense","252","02502",1,0.923076923076923,0,0,1,0.461538461538462,0.5,"LB",5,0.621538461538462,0.396538461538462,0.5,0.46,0,0.923076923076923,1
"0007",2021,"defense","252","02502",1,0.923076923076923,0,0,1,0.461538461538462,0.5,"LB",5,0.701538461538462,0.476538461538461,0.5,0.46,0,0.923076923076923,1
"0007",2021,"defense","252","02502",1,0.923076923076923,0,0,1,0.461538461538462,0.5,"LB",5,0.781538461538462,0.556538461538462,0.5,0.46,0,0.923076923076923,1
"0007",2021,"defense","252","02502",1,0.923076923076923,0,0,1,0.461538461538462,0.5,"LB",5,0.861538461538462,0.636538461538462,0.5,0.46,0,0.923076923076923,1
