"player_id"; "player_name"; "pos"; "points"; "war"
14928; "Wilson, Logan"; "LB"; 171; 0.56
14929; "Okwara, Julian"; "DL"; 15; -0.02
14933; "Blackmon, Julian"; "DB"; 61; 0.01
14940; "Highsmith, Alex"; "LB"; 52; -0.01
14941; "Taylor, Davion"; "LB"; 69; 0
14943; "Davis-Gaither, Akeem"; "LB"; 54; -0.06
14956; "Sneed, L'Jarius"; "DB"; 38; 0.07
14960; "Robinson, Alton"; "DL"; 24; -0.16
14974; "Mooney, Darnell"; "WR"; 150.1; 0.44
14977; "Osborn, K.J."; "WR"; 80.95; 0
14978; "Danna, Michael"; "DL"; 20; -0.06
14979; "Strnad, Justin"; "LB"; 49; -0.18
14983; "Bass, Tyler"; "PK"; 103.3; 0.17
14991; "Fuller, Jordan"; "DB"; 149; 0.35
15001; "Curl, Kamren"; "DB"; 131; 0.22
15029; "Crowder, Tae"; "LB"; 152; 0.42
15034; "Callaway, Marquez"; "WR"; 105; 0.11
15040; "Williams, Ty'Son"; "RB"; 41.5; -0.07
15082; "Barnes, Krys"; "LB"; 103; 0.09
15237; "Lawrence, Trevor"; "QB"; 162.66; -0.17
15238; "Fields, Justin"; "QB"; 102.54; -0.22
15239; "Wilson, Zach"; "QB"; 93.06; -0.11
15240; "Lance, Trey"; "QB"; 46.86; -0.12
15241; "Jones, Mac"; "QB"; 179.56; -0.29
15254; "Harris, Najee"; "RB"; 215.6; 0.96
15255; "Gainwell, Kenneth"; "RB"; 104.15; 0.15
15256; "Williams, Javonte"; "RB"; 149.9; 0.48
15257; "Sermon, Trey"; "RB"; 28.3; -0.12
15258; "Carter, Michael"; "RB"; 128.8; 0.26
15259; "Stevenson, Rhamondre"; "RB"; 83.6; 0.08
15260; "Patterson, Jaret"; "RB"; 13.5; -0.46
15261; "Hubbard, Chuba"; "RB"; 94.53; 0.09
15263; "Mitchell, Elijah"; "RB"; 135.5; 0.28
15270; "Felton, Demetric"; "RB"; 48.8; -0.13
15271; "Herbert, Khalil"; "RB"; 69.85; -0.09
15281; "Chase, Ja'Marr"; "WR"; 199.3; 0.8
15282; "Smith, DeVonta"; "WR"; 145.1; 0.64
15283; "Moore, Rondale"; "WR"; 116.44; 0.19
15284; "Waddle, Jaylen"; "WR"; 205.94; 1.46
15287; "St. Brown, Amon-Ra"; "WR"; 101; 0.08
15288; "Moore, Elijah"; "WR"; 138.2; 0.29
15289; "Toney, Kadarius"; "WR"; 75.56; 0.03
15293; "Bateman, Rashod"; "WR"; 55.1; 0.01
15296; "Schwartz, Anthony"; "WR"; 29.75; -0.18
15308; "Marshall, Terrace"; "WR"; 27.6; -0.14
15329; "Pitts, Kyle"; "TE"; 125.9; 0.4
15330; "Jordan, Brevin"; "TE"; 31.7; 0.01
15331; "Freiermuth, Pat"; "TE"; 115.3; 0.32
15332; "Tremble, Tommy"; "TE"; 40.33; -0.22
15335; "Farrell, Luke"; "TE"; 10.9; -0.28
15344; "Bates, John"; "TE"; 15; -0.01
15345; "Paye, Kwity"; "DL"; 59; -0.04
15346; "Rousseau, Gregory"; "DL"; 92; 0.15
15348; "Basham, Carlos"; "DL"; 25; -0.02
15349; "Phillips, Jaelan"; "DL"; 92; 0.19
15350; "Parsons, Micah"; "LB"; 176; 0.6
15351; "Owusu-Koramoah, Jeremiah"; "LB"; 95; 0.1
15352; "Collins, Zaven"; "LB"; 38; -0.37
15355; "Bolton, Nick"; "LB"; 133; 0.29
15356; "Browning, Baron"; "LB"; 40; 0
15357; "Barmore, Christian"; "DL"; 53; -0.34
15362; "Surtain II, Patrick"; "DB"; 115; 0.11
15364; "Cisco, Andre"; "DB"; 12; -0.62
15365; "Moehrig, Trevon"; "DB"; 81; -0.14
15366; "Holland, Jevon"; "DB"; 122.1; 0.18
15367; "Nasirildeen, Hamsah"; "LB"; 2; -0.24
15368; "McPherson, Evan"; "PK"; 96.15; 0.12
15373; "Davis, Jamin"; "LB"; 89; -0.03
15376; "Turner, Payton"; "DL"; 25; -0.02
15378; "Oweh, Jayson"; "LB"; 83; -0.07
15381; "Grant, Richie"; "DB"; 45; -0.4
15385; "Ojulari, Azeez"; "LB"; 89; -0.03
15386; "Odeyingbo, Dayo"; "DL"; 12; -0.09
15387; "Werner, Pete"; "LB"; 73; -0.06
15399; "Rice, Monty"; "LB"; 34; -0.1
15404; "Jones, Ernest"; "LB"; 71; -0.15
15409; "Barnes, Derrick"; "LB"; 72; -0.14
15418; "Bynum, Camryn"; "DB"; 17; 0
15430; "Sterns, Caden"; "DB"; 24; -0.15
15432; "Carter, Michael"; "DB"; 61; -0.02
15440; "Taylor, Keith"; "DB"; 5; -0.04
15452; "Hufanga, Talanoa"; "DB"; 35; -0.11
15462; "Brightwell, Gary"; "RB"; 2; -0.18
