"player_id" "player_name" "pos" "points" "war"
13364 "Carson, Chris" "RB" 104.3 0.14
13378 "Breida, Matt" "RB" 136.6 0.34
13382 "Seals-Jones, Ricky" "TE" 59.7 -0.04
13404 "Ekeler, Austin" "RB" 133.3 0.32
13412 "Cole, Keelan" "WR" 70.5 -0.07
13423 "Cole, Dylan" "LB" 20 -0.02
13424 "Hill, Taysom" "QB" 0.8 -0.19
13446 "Nickerson, Hardy" "LB" 26 -0.14
13470 "Moore, Kenny" "DB" 5 -0.05
13488 "Pascal, Zach" "WR" 16.54 -0.12
13564 "Ficken, Sam" "PK" 7.4 0
13590 "Mayfield, Baker" "QB" 163.38 0.06
13591 "Rosen, Josh" "QB" 94.44 -0.24
13592 "Darnold, Sam" "QB" 118.46 -0.14
13593 "Jackson, Lamar" "QB" 66.5 -0.8
13604 "Barkley, Saquon" "RB" 286 1.41
13606 "Jones, Ronald" "RB" 19.6 -0.05
13607 "Michel, Sony" "RB" 99.88 0.14
13608 "Penny, Rashaad" "RB" 57.1 -0.21
13610 "Chubb, Nick" "RB" 132.5 0.31
13611 "Adams, Josh" "RB" 49.7 -0.02
13612 "Johnson, Kerryon" "RB" 140.4 0.31
13614 "Lindsay, Phillip" "RB" 168.74 0.57
13616 "Walton, Mark" "RB" 11.5 -0.25
13617 "Freeman, Royce" "RB" 72.7 0
13622 "Hines, Nyheim" "RB" 111.1 0.16
13629 "Ridley, Calvin" "WR" 160.7 0.56
13630 "Sutton, Courtland" "WR" 83.3 0.01
13633 "Kirk, Christian" "WR" 120.3 0.27
