"player_id" "player_name" "pos" "points" "war"
12330 "O'Shaughnessy, James" "TE" 34.1 0.04
12349 "Diggs, Quandre" "DB" 55 -0.03
12386 "Brown, Malcolm" "RB" 37.9 -0.11
12391 "Williams, Tyrell" "WR" 110 0.17
12417 "Lambo, Josh" "PK" 52 0.04
12437 "Myers, Jason" "PK" 73 0.07
12447 "Mostert, Raheem" "RB" 71.4 0
12448 "Dunbar, Quinton" "DB" 87 0.02
12464 "Byrd, Damiere" "WR" 16.1 -0.06
12481 "Hewitt, Neville" "LB" 98 0.15
12544 "Everett, Deshazor" "DB" 8 -0.17
12596 "LaCosse, Matt" "TE" 12.3 -0.1
12610 "Wentz, Carson" "QB" 185 0.06
12611 "Goff, Jared" "QB" 160.6 -0.11
12616 "Brissett, Jacoby" "QB" 162.24 0.01
12620 "Prescott, Dak" "QB" 249.02 0.51
12621 "Allen, Brandon" "QB" 34.5 -0.07
12623 "Driskel, Jeff" "QB" 15.58 -0.01
12625 "Elliott, Ezekiel" "RB" 195.9 0.82
12626 "Henry, Derrick" "RB" 201.4 0.86
12627 "Prosise, C.J." "RB" 24.7 -0.04
12630 "Drake, Kenyan" "RB" 108.55 0.19
12634 "Howard, Jordan" "RB" 111.4 0.2
12637 "Barber, Peyton" "RB" 80 0.01
12647 "Fuller, Will" "WR" 118 0.21
12650 "Boyd, Tyler" "WR" 144.45 0.4
12652 "Thomas, Michael" "WR" 263.3 1.24
12658 "Shepard, Sterling" "WR" 72.6 0.13
12665 "Allison, Geronimo" "WR" 59.7 -0.19
12676 "Henry, Hunter" "TE" 107.7 0.23
12677 "Hooper, Austin" "TE" 154.8 0.42
12678 "Higbee, Tyler" "TE" 53.2 -0.06
12686 "Bosa, Joey" "DL" 120 0.33
12687 "Lawson, Shaq" "DL" 43 -0.12
12688 "Buckner, DeForest" "DL" 116 0.3
12691 "Ogbah, Emmanuel" "DL" 86 0.1
12698 "Reed, Jarran" "DL" 29 -0.02
12701 "Smith, Jaylon" "LB" 182 0.66
12702 "Jack, Myles" "LB" 122 0.24
12703 "Ragland, Reggie" "LB" 44 -0.11
12705 "Lee, Darron" "LB" 37 -0.34
12712 "Hargreaves, Vernon" "DB" 65 -0.03
12715 "Apple, Eli" "DB" 83 -0.11
12717 "Joseph, Karl" "DB" 98 0.07
12718 "Bell, Vonn" "DB" 161 0.44
12736 "Neal, Keanu" "DB" 25 -0.01
12739 "Clark, Kenny" "DL" 62 -0.08
12741 "Jones, Chris" "DL" 68 0.06
12745 "Jones, Deion" "LB" 136 0.34
12750 "Bradberry, James" "DB" 33 -0.01
12752 "Byard, Kevin" "DB" 124.1 0.18
12753 "Nassib, Carl" "DL" 58 -0.01
12756 "Ngakoue, Yannick" "DL" 107 0.21
12762 "Vigil, Nick" "LB" 152 0.45
12767 "Simmons, Justin" "DB" 146 0.33
12768 "Schobert, Joe" "LB" 216 0.9
12778 "Kwiatkoski, Nick" "LB" 18 -0.03
12779 "Campbell, De'Vondre" "LB" 173 0.6
12785 "Robinson, Demarcus" "WR" 82.9 -0.03
12788 "Martinez, Blake" "LB" 186 0.69
12795 "Judon, Matt" "LB" 40 0.03
12797 "Ioannidis, Matt" "DL" 92 0.13
12800 "Davis, Trevor" "WR" 29.78 -0.09
12801 "Hill, Tyreek" "WR" 119.1 0.24
12805 "Brown, Jatavis" "LB" 12 -0.19
12850 "Fejedelem, Clayton" "DB" 14 -0.59
12854 "Walker, Joe" "LB" 24 0
12860 "Fairbairn, Ka'imi" "PK" 75.25 0.08
12910 "Harris, Erik" "DB" 41 0.07
12912 "Richard, Jalen" "RB" 53.95 -0.17
12913 "Erickson, Alex" "WR" 26.8 -0.02
12930 "Anderson, Robby" "WR" 91.5 0.03
12938 "Poole, Brian" "DB" 22 -0.06
12956 "Lutz, Wil" "PK" 107.7 0.31
12985 "Littleton, Cory" "LB" 190 0.72
13026 "Onwuasor, Patrick" "LB" 97 0.11
13108 "McKissic, J.D." "RB" 43.1 0.03
13113 "Watson, Deshaun" "QB" 248.06 0.51
13115 "Trubisky, Mitchell" "QB" 122.92 -0.19
13116 "Mahomes, Patrick" "QB" 198.42 0.23
13128 "Cook, Dalvin" "RB" 257.2 1.25
13129 "Fournette, Leonard" "RB" 207.2 0.9
13130 "McCaffrey, Christian" "RB" 336.9 1.78
13131 "Mixon, Joe" "RB" 122.3 0.3
13132 "Kamara, Alvin" "RB" 168.72 0.45
13135 "Gallman, Wayne" "RB" 49.2 -0.11
13138 "Hunt, Kareem" "RB" 38.8 0.09
13139 "Williams, Jamaal" "RB" 121.97 0.26
13146 "Conner, James" "RB" 128.2 0.27
13148 "Ogunbowale, Dare" "RB" 55.47 -0.16
13153 "Davis, Corey" "WR" 82.3 0.02
13154 "Williams, Mike" "WR" 99.3 0.1
13155 "Ross, John" "WR" 65.8 0.15
13156 "Smith-Schuster, JuJu" "WR" 107.4 0.14
13157 "Samuel, Curtis" "WR" 125.2 0.27
13158 "Westbrook, Dede" "WR" 103.8 0.13
13163 "Godwin, Chris" "WR" 233.9 1.04
13164 "Kupp, Cooper" "WR" 185.4 0.69
13168 "Reynolds, Josh" "WR" 40.3 -0.32
13176 "Jones, Zay" "WR" 34 -0.22
13188 "Howard, O.J." "TE" 46.3 -0.05
13189 "Engram, Evan" "TE" 109.4 0.22
13192 "Njoku, David" "TE" 13.7 0.01
13193 "Smith, Jonnu" "TE" 58.58 -0.09
13198 "Garrett, Myles" "DL" 92 0.13
13199 "Thomas, Solomon" "DL" 36 -0.26
13200 "Charlton, Taco" "DL" 29 -0.04
13201 "Barnett, Derek" "DL" 58 -0.11
13204 "Harris, Charles" "DL" 32 -0.29
13205 "McKinley, Takkarist" "DL" 43 -0.21
