"player_id" "player_name" "pos" "points" "war"
11316 "Ryan, Logan" "DB" 103 0.03
11317 "Poyer, Jordan" "DB" 131 0.23
11318 "Taylor, Jamar" "DB" 101 0.01
11323 "Reid, Eric" "DB" 86 0.06
11324 "Vaccaro, Kenny" "DB" 115 0.15
11326 "McDonald, T.J." "DB" 33 0.03
11327 "Jefferson, Tony" "DB" 98 -0.01
11330 "Williams, Shawn" "DB" 47 -0.03
11333 "Short, Kawann" "DL" 79 0.07
11337 "Fells, Darren" "TE" 16.7 -0.08
11339 "Tavecchio, Giorgio" "PK" 48.25 -0.19
11342 "Whittaker, Fozzy" "RB" 14.87 -0.12
11347 "Cyprien, Johnathan" "DB" 46 0
11348 "Slay, Darius" "DB" 69 0.02
11349 "Collins, Jamie" "LB" 69 0.08
11350 "Swearinger, D.J." "DB" 121 0.16
11351 "Alford, Robert" "DB" 118 0.14
11360 "Williams, Brandon" "DL" 37 -0.03
11375 "Klein, A.J." "LB" 98 0.09
11382 "Hyde, Micah" "DB" 123.9 0.18
11384 "Sturgis, Caleb" "PK" 12.9 0.06
11387 "Hopkins, Dustin" "PK" 38 -0.02
11390 "Murray, Latavius" "RB" 90.5 0.13
11399 "Griffin, Ryan" "TE" 36.8 -0.02
11403 "Williams, Vince" "LB" 126 0.27
11406 "Butler, Brice" "WR" 27.9 -0.11
11428 "Cooper, Marcus" "DB" 34 -0.3
11454 "Anderson, C.J." "RB" 101.6 0.21
11456 "Brown, Jaron" "WR" 83.1 0.05
11457 "Worrilow, Paul" "LB" 38 -0.1
11487 "Armstrong, Ray-Ray" "LB" 87 0.09
11498 "Addae, Jahleel" "DB" 137 0.28
11512 "Bouye, A.J." "DB" 112 0.09
11516 "Doyle, Jack" "TE" 123.4 0.34
11517 "McDougald, Bradley" "DB" 53 -0.34
11537 "Melvin, Rashaan" "DB" 55 -0.03
11632 "Compton, Will" "LB" 39 -0.15
11642 "Bortles, Blake" "QB" 166.46 0.01
11644 "Carr, Derek" "QB" 156.36 0.04
11654 "Hill, Jeremy" "RB" 17.2 -0.11
11657 "Hyde, Carlos" "RB" 166.4 0.7
11659 "Thomas, De'Anthony" "WR" 14.87 -0.08
11660 "Freeman, Devonta" "RB" 114.2 0.25
11668 "Crowell, Isaiah" "RB" 105.1 0.24
11670 "Watkins, Sammy" "WR" 107 0.23
11671 "Evans, Mike" "WR" 145.2 0.41
11672 "Lee, Marqise" "WR" 115.45 0.29
11673 "Benjamin, Kelvin" "WR" 101.7 0.18
11674 "Cooks, Brandin" "WR" 172 0.71
11675 "Adams, Davante" "WR" 167.2 0.67
11676 "Matthews, Jordan" "WR" 55.8 -0.03
11677 "Moncrief, Donte" "WR" 68.4 -0.05
11678 "Robinson, Allen" "WR" 2.7 -0.05
11679 "Beckham, Odell" "WR" 74.6 0.21
11680 "Landry, Jarvis" "WR" 176.7 0.75
11681 "Richardson, Paul" "WR" 123.4 0.35
11688 "Bryant, Martavis" "WR" 78.74 0.05
11689 "Ellington, Bruce" "WR" 76.35 0.04
11695 "Ebron, Eric" "TE" 71.7 0.03
11697 "Seferian-Jenkins, Austin" "TE" 89.5 0.16
11698 "Fiedorowicz, C.J." "TE" 23.1 -0.01
11706 "Clowney, Jadeveon" "LB" 125 0.26
11707 "Tuitt, Stephon" "DL" 37 -0.03
11717 "Jernigan, Timmy" "DL" 46 -0.17
11720 "Barr, Anthony" "LB" 112 0.17
11721 "Mack, Khalil" "LB" 121 0.23
11722 "Shazier, Ryan" "LB" 195 0.78
11723 "Van Noy, Kyle" "LB" 118 0.2
11724 "Jones, Christian" "LB" 120 0.21
11728 "Mosley, C.J." "LB" 198 0.81
11740 "Clinton-Dix, Ha Ha" "DB" 115 0.12
11742 "Joyner, Lamarcus" "DB" 39 -0.06
11746 "West, Terrance" "RB" 29.1 -0.01
11747 "White, James" "RB" 112.1 0.29
11754 "Coleman, Brandon" "WR" 62.8 -0.09
11757 "Donald, Aaron" "DL" 88 0.14
11761 "McKinnon, Jerick" "RB" 134.46 0.46
11764 "Fuller, Kyle" "DB" 32 0.03
11767 "Bucannon, Deone" "LB" 115 0.2
11768 "Ward, Jimmie" "DB" 64 0
11769 "Lawrence, Demarcus" "DL" 138 0.51
11772 "Kirksey, Christian" "LB" 179 0.66
11775 "Brown, Preston" "LB" 144 0.4
11781 "Gaines, Phillip" "DB" 53 -0.34
11783 "Brown, John" "WR" 59.1 0.02
11788 "Breeland, Bashaud" "DB" 28.77 -0.03
11795 "Hitchens, Anthony" "LB" 73 0.06
11802 "Boston, Tre" "DB" 20 0.01
11812 "Grant, Ryan" "WR" 64.9 0.01
11813 "Smith, Telvin" "LB" 193 0.77
11814 "Allen, Ricardo" "DB" 64 -0.14
11816 "Williamson, Avery" "LB" 103 0.1
