"season","week","franchise_id","opponent_id"
"2016","10","0013","0021"
"2016","10","0016","0015"
"2016","10","0006","0036"
"2016","10","0031","0026"
"2016","10","0034","0010"
"2016","10","0019","0022"
"2016","10","0024","0023"
"2016","10","0001","0033"
"2016","10","0027","0018"
"2016","10","0005","0002"
"2016","10","0014","0035"
"2016","10","0029","0030"
"2016","10","0020","0017"
"2016","10","0008","0026"
"2016","10","0012","0031"
"2016","10","0011","0036"
"2016","10","0009","0006"
"2016","10","0003","0016"
"2016","10","0007","0015"
"2016","10","0028","0002"
"2016","10","0004","0018"
"2016","10","0013","0027"
"2016","10","0025","0005"
"2016","10","0032","0033"
"2016","10","0021","0001"
"2016","10","0034","0035"
"2016","10","0019","0017"
"2016","10","0022","0014"
"2016","10","0024","0030"
"2016","10","0010","0020"
"2016","10","0023","0029"
"2016","11","0008","0012"
"2016","11","0011","0003"
"2016","11","0009","0007"
"2016","11","0028","0004"
"2016","11","0013","0025"
"2016","11","0032","0021"
"2016","11","0016","0006"
"2016","11","0031","0015"
"2016","11","0026","0036"
"2016","11","0019","0034"
"2016","11","0024","0022"
"2016","11","0023","0010"
"2016","11","0018","0001"
"2016","11","0005","0027"
"2016","11","0002","0033"
"2016","11","0020","0014"
"2016","11","0035","0029"
"2016","11","0017","0030"
"2016","11","0036","0008"
"2016","11","0015","0012"
"2016","11","0006","0011"
"2016","11","0026","0009"
"2016","11","0031","0003"
"2016","11","0007","0016"
"2016","11","0005","0028"
"2016","11","0002","0004"
"2016","11","0001","0013"
"2016","11","0027","0025"
"2016","11","0018","0032"
"2016","11","0021","0033"
"2016","11","0034","0020"
"2016","11","0019","0035"
"2016","11","0030","0022"
"2016","11","0029","0024"
"2016","11","0010","0014"
"2016","11","0017","0023"
"2016","12","0008","0034"
"2016","12","0012","0024"
"2016","12","0011","0019"
"2016","12","0009","0010"
"2016","12","0003","0022"
"2016","12","0007","0023"
"2016","12","0028","0030"
"2016","12","0004","0014"
"2016","12","0013","0017"
"2016","12","0025","0029"
"2016","12","0032","0035"
"2016","12","0021","0020"
"2016","12","0016","0018"
"2016","12","0006","0001"
"2016","12","0031","0005"
"2016","12","0015","0027"
"2016","12","0036","0033"
"2016","12","0026","0002"
"2016","12","0008","0011"
"2016","12","0012","0007"
"2016","12","0009","0003"
"2016","12","0028","0013"
"2016","12","0004","0021"
"2016","12","0025","0032"
"2016","12","0016","0031"
"2016","12","0006","0026"
"2016","12","0015","0036"
"2016","12","0034","0023"
"2016","12","0019","0024"
"2016","12","0022","0010"
"2016","12","0001","0005"
"2016","12","0027","0002"
"2016","12","0018","0033"
"2016","12","0014","0029"
"2016","12","0020","0030"
"2016","12","0017","0035"
"2016","13","0008","0003"
"2016","13","0012","0009"
"2016","13","0011","0007"
"2016","13","0028","0021"
"2016","13","0004","0025"
"2016","13","0013","0032"
"2016","13","0016","0036"
"2016","13","0006","0031"
"2016","13","0015","0026"
"2016","13","0034","0022"
"2016","13","0019","0023"
"2016","13","0024","0010"
"2016","13","0001","0027"
"2016","13","0018","0002"
"2016","13","0033","0005"
"2016","13","0014","0030"
"2016","13","0029","0017"
"2016","13","0020","0035"
"2016","13","0008","0029"
"2016","13","0012","0017"
"2016","13","0011","0014"
"2016","13","0009","0020"
"2016","13","0007","0035"
"2016","13","0003","0030"
"2016","13","0028","0015"
"2016","13","0004","0031"
"2016","13","0013","0026"
"2016","13","0025","0016"
"2016","13","0032","0006"
"2016","13","0021","0036"
"2016","13","0034","0005"
"2016","13","0019","0018"
"2016","13","0022","0027"
"2016","13","0024","0033"
"2016","13","0010","0001"
"2016","13","0023","0002"
"2017","01","0003","0007"
"2017","01","0008","0009"
"2017","01","0011","0012"
"2017","01","0004","0013"
"2017","01","0021","0025"
"2017","01","0028","0032"
"2017","01","0006","0015"
"2017","01","0016","0026"
"2017","01","0031","0036"
"2017","01","0010","0019"
"2017","01","0022","0023"
"2017","01","0024","0034"
"2017","01","0001","0002"
"2017","01","0005","0018"
"2017","01","0027","0033"
"2017","01","0014","0017"
"2017","01","0020","0029"
"2017","01","0030","0035"
"2017","01","0003","0025"
"2017","01","0007","0028"
"2017","01","0008","0032"
"2017","01","0009","0006"
"2017","01","0011","0015"
"2017","01","0012","0016"
"2017","01","0004","0026"
"2017","01","0013","0031"
"2017","01","0021","0036"
"2017","01","0010","0018"
"2017","01","0019","0027"
"2017","01","0022","0033"
"2017","01","0023","0014"
"2017","01","0024","0017"
"2017","01","0034","0020"
"2017","01","0001","0029"
"2017","01","0002","0030"
"2017","01","0005","0035"
"2017","02","0003","0008"
"2017","02","0007","0011"
"2017","02","0009","0012"
"2017","02","0004","0021"
"2017","02","0013","0028"
"2017","02","0025","0032"
"2017","02","0006","0016"
"2017","02","0015","0031"
"2017","02","0026","0036"
"2017","02","0010","0022"
"2017","02","0019","0024"
"2017","02","0023","0034"
"2017","02","0001","0005"
"2017","02","0002","0027"
"2017","02","0018","0033"
"2017","02","0014","0020"
"2017","02","0017","0030"
"2017","02","0029","0035"
"2017","02","0003","0028"
"2017","02","0007","0032"
"2017","02","0008","0025"
"2017","02","0009","0015"
"2017","02","0011","0016"
"2017","02","0012","0006"
"2017","02","0004","0031"
"2017","02","0013","0036"
"2017","02","0021","0026"
"2017","02","0010","0027"
"2017","02","0019","0033"
"2017","02","0022","0018"
"2017","02","0023","0017"
"2017","02","0024","0020"
"2017","02","0034","0014"
"2017","02","0001","0030"
"2017","02","0002","0035"
"2017","02","0005","0029"
"2017","03","0003","0009"
"2017","03","0007","0012"
"2017","03","0008","0011"
"2017","03","0004","0025"
"2017","03","0013","0032"
"2017","03","0021","0028"
"2017","03","0006","0026"
"2017","03","0015","0036"
"2017","03","0016","0031"
"2017","03","0010","0023"
"2017","03","0019","0034"
"2017","03","0022","0024"
"2017","03","0001","0018"
"2017","03","0002","0033"
"2017","03","0005","0027"
"2017","03","0014","0029"
"2017","03","0017","0035"
"2017","03","0020","0030"
"2017","03","0003","0032"
"2017","03","0007","0025"
"2017","03","0008","0028"
"2017","03","0009","0016"
"2017","03","0011","0006"
"2017","03","0012","0015"
"2017","03","0004","0036"
"2017","03","0013","0026"
"2017","03","0021","0031"
"2017","03","0010","0033"
"2017","03","0019","0018"
"2017","03","0022","0027"
"2017","03","0023","0020"
"2017","03","0024","0014"
"2017","03","0034","0017"
"2017","03","0001","0035"
"2017","03","0002","0029"
"2017","03","0005","0030"
"2017","04","0003","0011"
"2017","04","0007","0009"
"2017","04","0008","0012"
"2017","04","0004","0028"
"2017","04","0013","0025"
"2017","04","0021","0032"
"2017","04","0006","0031"
"2017","04","0015","0026"
"2017","04","0016","0036"
"2017","04","0010","0024"
"2017","04","0019","0023"
"2017","04","0022","0034"
"2017","04","0001","0027"
"2017","04","0002","0018"
"2017","04","0005","0033"
"2017","04","0014","0030"
"2017","04","0017","0029"
"2017","04","0020","0035"
"2017","04","0003","0004"
"2017","04","0007","0013"
"2017","04","0008","0021"
"2017","04","0009","0026"
"2017","04","0011","0031"
"2017","04","0012","0036"
"2017","04","0025","0006"
"2017","04","0028","0015"
"2017","04","0032","0016"
"2017","04","0010","0001"
"2017","04","0019","0002"
"2017","04","0022","0005"
"2017","04","0023","0029"
"2017","04","0024","0030"
"2017","04","0034","0035"
"2017","04","0018","0014"
"2017","04","0027","0017"
"2017","04","0033","0020"
"2017","05","0003","0012"
"2017","05","0007","0008"
"2017","05","0009","0011"
"2017","05","0004","0032"
"2017","05","0013","0021"
"2017","05","0025","0028"
"2017","05","0006","0036"
"2017","05","0015","0016"
"2017","05","0026","0031"
"2017","05","0010","0034"
"2017","05","0019","0022"
"2017","05","0023","0024"
"2017","05","0001","0033"
"2017","05","0002","0005"
"2017","05","0018","0027"
"2017","05","0014","0035"
"2017","05","0017","0020"
"2017","05","0029","0030"
"2017","05","0003","0013"
"2017","05","0007","0021"
"2017","05","0008","0004"
"2017","05","0009","0031"
"2017","05","0011","0036"
"2017","05","0012","0026"
"2017","05","0025","0015"
"2017","05","0028","0016"
"2017","05","0032","0006"
"2017","05","0010","0002"
"2017","05","0019","0005"
"2017","05","0022","0001"
"2017","05","0023","0030"
"2017","05","0024","0035"
"2017","05","0034","0029"
"2017","05","0018","0017"
"2017","05","0027","0020"
"2017","05","0033","0014"
"2017","06","0004","0005"
"2017","06","0036","0027"
"2017","06","0011","0014"
"2017","06","0012","0010"
"2017","06","0008","0019"
"2017","06","0026","0018"
"2017","06","0009","0022"
"2017","06","0016","0033"
"2017","06","0013","0034"
"2017","06","0028","0017"
"2017","06","0025","0030"
"2017","06","0007","0002"
"2017","06","0006","0001"
"2017","06","0032","0020"
"2017","06","0021","0024"
"2017","06","0003","0029"
"2017","06","0031","0023"
"2017","06","0015","0035"
"2017","06","0003","0021"
"2017","06","0007","0004"
"2017","06","0008","0013"
"2017","06","0009","0036"
"2017","06","0011","0026"
"2017","06","0012","0031"
"2017","06","0025","0016"
"2017","06","0028","0006"
"2017","06","0032","0015"
"2017","06","0010","0005"
"2017","06","0019","0001"
"2017","06","0022","0002"
"2017","06","0023","0035"
"2017","06","0024","0029"
"2017","06","0034","0030"
"2017","06","0018","0020"
"2017","06","0027","0014"
"2017","06","0033","0017"
"2017","07","0028","0030"
"2017","07","0009","0017"
"2017","07","0007","0019"
"2017","07","0031","0022"
"2017","07","0008","0010"
"2017","07","0016","0027"
"2017","07","0025","0033"
"2017","07","0032","0023"
"2017","07","0012","0014"
